,ID_Pelicula,Tipo,Título,Link,Sinopsis,Calificación,Lanzamiento,Duración [MIN]
0,49849,Movie,Brothers,https://www.starz.com/ar/es/movies/Brothers-49849,"Un joven debe reconfortar a la esposa e hijos de su hermano, quien ha desaparecido en Afganistán.",SAM16,2009,104
1,50064,Movie,El sorprendente Hombre-Araña 2 - La amenaza de Electro,https://www.starz.com/ar/es/movies/El-sorprendente-Hombre-Araña-2---La-amenaza-de-Electro-50064,"Ser el Hombre Araña (Andrew Garfield) es genial. Para Peter Parker, no hay mejor sensación que columpiarse entre rascacielos, ser el héroe y pasar el tiempo con Gwen (Emma Stone).",SAM13,2014,141
2,51991,Movie,Infiel,https://www.starz.com/ar/es/movies/Infiel-51991,"En el emocionante y excitante filme de suspenso de Tyler Perry, una fiel esposa (Taraji, P. Henson) sobrepasa los límites cuando queda claro que su deshonesto esposo la ha traicionado.",SAM16,2018,120
3,61327,Movie,John Wick 2: Un nuevo día para matar,https://www.starz.com/ar/es/movies/John-Wick-2:-Un-nuevo-día-para-matar-61327,"En esta secuela del éxito de 2014, el legendario asesino John Wick (Keanu Reeves) se ve obligado a salir del retiro por un ex-asociado que planea obtener el control de un misterioso grupo internacional de asesinos. Obligado a ayudarlo por un juramento de sangre, John emprende un viaje a Roma lleno de adrenalina estremecedora para pelear contra los asesinos más peligrosos del mundo.",SAM16,2017,122
4,59236,Movie,Crímenes ocultos,https://www.starz.com/ar/es/movies/Crímenes-ocultos-59236,Un agente soviético caído en desgracia descubre una conexión entre una serie de asesinatos infantiles y el líder de un partido. Those who seek the truth will be silenced. Basada en una novela de Tom Rob Smith.,SAM16,2015,137
5,65816,Movie,Elizabeth: La edad de oro,https://www.starz.com/ar/es/movies/Elizabeth:-La-edad-de-oro-65816,"Cate Blanchett y Geoffrey Rush protagonizan esta emocionante historia de la lucha de una mujer para controlar el amor, aplastar a sus enemigos y consolidarse en el trono de Inglaterra.",SAM13,2007,114
6,63738,Movie,Venganza letal,https://www.starz.com/ar/es/movies/Venganza-letal-63738,"Un expresidiario tiene un único deseo: vengar el asesinato de su hermano, cometido durante un robo a un banco.",SAM16,2010,97
7,14139,Movie,Maria Antonieta La Reina Adolescente,https://www.starz.com/ar/es/movies/Maria-Antonieta-La-Reina-Adolescente-14139,"La historia de Marie-Antoinette, una ingenua austriaca de 14 años que se casó con Luís XVI sin estar preparada para los problemas políticos de ser la Reina de Francia durante la Revolución Francesa.",SAM13,2006,122
8,47013,Movie,La princesa prometida,https://www.starz.com/ar/es/movies/La-princesa-prometida-47013,"La historia es la clásica historia de amor y aventura como la bella Buttercup es secuestrada y retenida contra su voluntad en orden a casarse con el odioso Príncipe Humperdinck, y Westley (su amor de la infancia, quien ahora devuelve como Dread Pirate Roberts), que intenta salvarla.",ATP,1987,98
9,45158,Movie,Malas Enseñanzas,https://www.starz.com/ar/es/movies/Malas-Enseñanzas-45158,"Una malhablada maestra de séptimo grado, abandonada por su novio adinerado, empieza a perseguir a un colega, lo que causa conflictos con el modelo de enseñanza de la escuela.",SAM16,2011,91
