,Título,Tipo,ID_Serie,Link,Sinopsis,CantidadEpisodios,Genero,Año Lanzamiento,Actual o Finalizado,Calificación
0,The Great,57979,Series with Season,https://www.starz.com/ar/es/series/The-Great/57979,"The Great es un drama cómico y satírico, ocasionalmente basado en hechos históricos, sobre cómo Catalina la Grande pasó de ser una forastera a la gobernante mujer con el reinado más largo de la historia de Rusia. Una historia muy moderna sobre el pasado.",20,"[{'description': 'Comedia'}, {'description': 'Drama'}]",2020,2021,SAM16
1,Power Book IV: Force,62261,Series with Season,https://www.starz.com/ar/es/series/Power-Book-IV:-Force/62261,"Tommy Egan corta todos los lazos y pone a Nueva York en su espejo retrovisor para siempre cuando llega a Chicago, proponiendo convertirse en el mayor traficante de drogas que la Segunda Ciudad haya visto.",2,"[{'description': 'Crimen'}, {'description': 'Drama'}]",2021,2022,SAM16
2,The Borgias,61183,Series with Season,https://www.starz.com/ar/es/series/The-Borgias/61183,"Sexo. Poder. Asesinato. Amén. Jeremy Irons, ganador del Oscar®, protagoniza esta nueva y épica serie original de Showtime, The Borgias, la historia explosiva de la primera gran familia del crimen de la historia.",29,[{'description': 'Drama'}],2011,2013,SAM16
3,Reign,63571,Series with Season,https://www.starz.com/ar/es/series/Reign/63571,"La historia comienza en el año 1557 cuando Mary, Reina de Escocia, tiene que partir del convento en el que vivía hacia Francia, para contraer matrimonio con el Príncipe Francis II de Francia y así sellar una alianza entre los dos países.",78,[{'description': 'Drama'}],2013,2017,SAM13
4,The Act,46154,Series with Season,https://www.starz.com/ar/es/series/The-Act/46154,"De los escritores Nick Antosca (""Channel Zero"") y Michelle Dean llega ""The Act"", una serie psicológica y antológica de crímenes reales que cuenta las insólitas historias detrás de actos criminales verdaderos.",8,"[{'description': 'Docudrama'}, {'description': 'Drama'}]",2019,2019,SAM16
5,Express,63120,Series with Season,https://www.starz.com/ar/es/series/Express/63120,"Bárbara Vázquez, brillante psicóloga criminal, presenta su renuncia en la Policía y comienza a trabajar en Zentral Risk, una aseguradora cuyo producto estrella es una póliza con cobertura anti-secuestros. Su meta es erradicar este tipo de delitos.",5,"[{'description': 'Acción'}, {'description': 'Crimen'}]",2021,2022,SAM16
6,Power Book II: Ghost,58002,Series with Season,https://www.starz.com/ar/es/series/Power-Book-II:-Ghost/58002,"""El Fantasma"" sigue a Tariq malabareando sus operaciones de drogas, calificaciones, vida amorosa y familia. Para  evitar el destino de su padre, debe convertirse en él, pero siendo mejor.",23,"[{'description': 'Crimen'}, {'description': 'Drama'}]",2020,2022,SAM16
7,Señorita 89,66233,Series with Season,https://www.starz.com/ar/es/series/Señorita-89/66233,Prepárate para Señorita 89. Estreno de la serie el 27 de febrero.,1,[{'description': 'Drama'}],2022,2022,SAM16
8,The Spanish Princess,42457,Series with Season,https://www.starz.com/ar/es/series/The-Spanish-Princess/42457,"""The Spanish Princess"" es la vívida y cautivante narración de la historia de Catalina de Aragón, que ha sido históricamente eclipsada por su infame matrimonio con el rey Enrique VIII.",17,"[{'description': 'Drama'}, {'description': 'Histórica'}]",2019,2020,SAM16
9,The White Princess,30887,Series with Season,https://www.starz.com/ar/es/series/The-White-Princess/30887,“The White Princess” representa una turbulenta época de la historia británica desde la visión de las mujeres que encarnan una dura batalla por el poder.,8,"[{'description': 'Drama'}, {'description': 'Literaria'}]",2017,2017,SAM16
